length,diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,sex_F,sex_I,sex_M,rings
88,71,24,99.0,46.2,22.0,25.0,0,1,0,7
122,94,29,230.6,80.6,59.2,64.0,1,0,0,14
124,98,32,207.0,88.0,50.5,57.0,0,0,1,11
140,116,41,426.0,148.3,98.0,116.0,0,0,1,20
144,110,40,399.3,180.7,93.8,104.3,1,0,0,10
91,71,26,103.0,40.0,25.5,35.0,0,0,1,11
94,69,28,92.3,45.8,22.1,23.2,0,1,0,9
131,102,32,218.4,79.2,56.5,74.0,1,0,0,14
120,93,31,203.3,102.4,49.3,45.0,0,0,1,10
130,99,32,262.1,115.4,66.3,71.0,1,0,0,9
91,72,22,87.7,41.2,19.6,25.0,1,0,0,10
96,74,24,102.8,41.5,26.2,31.0,0,1,0,13
124,96,30,253.2,125.7,51.5,61.8,0,0,1,12
121,95,29,176.8,76.7,38.1,54.0,0,0,1,8
99,82,25,151.1,67.1,25.8,42.8,1,0,0,9
120,96,36,212.9,89.9,49.1,65.0,1,0,0,10
83,65,23,65.7,28.1,10.2,21.2,0,1,0,12
105,83,28,144.8,69.5,34.6,35.0,1,0,0,8
106,85,34,189.8,69.7,47.9,55.6,1,0,0,17
140,115,38,454.6,219.0,83.6,127.6,0,0,1,12
130,105,37,269.1,117.2,55.6,77.3,0,0,1,9
120,89,35,211.4,76.6,43.2,71.0,0,1,0,16
124,99,36,251.1,115.3,50.8,71.0,0,0,1,12
120,90,29,175.4,86.5,31.0,48.0,0,0,1,9
117,95,32,210.1,96.0,46.8,57.0,0,1,0,10
33,22,4,3.8,1.3,0.5,1.0,0,1,0,4
114,90,27,158.8,76.3,28.3,49.0,0,1,0,8
126,99,35,253.9,121.0,54.2,65.6,0,0,1,11
126,99,33,261.5,119.8,56.8,63.0,1,0,0,11
133,104,33,337.7,145.9,81.4,85.3,1,0,0,11
111,91,36,191.6,59.2,39.0,78.0,1,0,0,14
134,109,32,308.3,119.7,51.3,99.0,1,0,0,15
136,108,42,357.7,166.9,81.6,87.4,0,0,1,13
125,97,38,234.9,87.7,46.1,84.0,1,0,0,17
147,113,41,425.5,189.8,92.0,113.0,1,0,0,12
123,97,32,231.5,100.1,49.9,63.0,1,0,0,10
101,78,21,131.1,51.9,36.0,38.0,0,0,1,11
108,84,28,160.7,76.0,36.1,42.0,1,0,0,9
145,112,42,428.2,130.0,79.6,201.0,1,0,0,18
90,71,23,95.8,42.5,20.9,30.0,0,0,1,8
98,77,24,118.2,54.2,22.5,35.5,0,1,0,9
110,84,32,268.1,126.5,62.2,68.8,0,0,1,10
115,87,26,202.1,73.6,44.4,64.0,0,0,1,10
99,76,26,102.5,43.7,23.2,32.0,0,1,0,7
100,78,27,156.3,72.2,31.5,47.7,0,0,1,9
128,108,35,314.2,125.4,54.2,95.0,1,0,0,18
104,80,25,111.8,50.8,27.8,29.8,0,0,1,8
53,40,13,19.5,8.0,4.1,5.6,0,1,0,7
135,111,41,385.0,142.6,71.6,90.7,1,0,0,13
121,95,32,323.2,109.9,66.4,68.0,0,0,1,18
135,105,31,295.7,125.6,68.1,84.0,1,0,0,9
142,109,35,381.4,174.5,91.3,95.0,1,0,0,11
120,96,34,183.5,76.0,44.5,58.0,0,1,0,8
87,68,24,79.2,35.5,16.2,25.0,0,1,0,8
109,81,27,118.9,54.0,23.7,37.0,0,1,0,8
132,105,36,295.6,116.3,76.2,74.4,0,0,1,10
88,65,23,78.0,32.6,17.4,22.6,0,0,1,7
112,88,27,160.5,70.0,32.3,51.8,1,0,0,9
122,94,30,232.5,113.0,51.6,61.7,0,0,1,11
60,44,18,28.5,11.4,6.7,8.6,0,1,0,7
63,47,16,36.0,16.0,9.0,9.4,0,1,0,5
107,86,28,143.3,57.1,31.9,43.1,0,0,1,8
100,80,28,132.3,51.3,35.1,44.0,1,0,0,8
75,56,17,63.1,37.4,9.2,13.4,0,1,0,7
124,95,37,265.0,120.9,65.0,66.0,0,0,1,13
150,111,43,440.2,212.3,104.7,105.7,0,0,1,11
92,76,27,96.4,41.4,24.5,29.0,0,0,1,10
106,84,24,119.3,51.1,28.2,35.4,0,1,0,7
123,98,38,226.9,93.9,51.4,69.6,1,0,0,11
93,69,22,88.3,35.1,18.1,24.0,0,1,0,7
129,99,37,298.7,105.3,55.7,91.0,0,0,1,15
120,94,32,238.8,112.5,60.9,52.7,0,0,1,10
100,77,26,153.6,52.5,19.0,54.0,1,0,0,13
126,91,30,226.3,96.2,54.9,61.0,0,0,1,9
115,92,37,218.8,89.7,43.4,69.0,1,0,0,15
94,71,29,89.7,31.2,20.4,24.6,0,1,0,7
110,82,30,157.0,56.4,37.2,55.0,0,0,1,12
75,55,18,43.6,18.6,8.1,15.1,0,1,0,6
95,70,23,90.4,34.3,18.4,31.0,1,0,0,11
71,56,17,58.1,19.0,7.9,23.0,0,1,0,7
97,73,30,182.9,82.9,39.8,54.6,1,0,0,7
113,87,29,168.9,79.5,31.6,51.0,0,1,0,9
117,81,30,251.3,87.0,40.4,65.0,0,0,1,15
86,65,18,85.0,43.4,17.4,19.0,0,1,0,7
130,104,42,335.7,133.3,61.6,92.0,0,0,1,11
142,111,35,428.0,249.1,74.5,86.8,0,0,1,11
104,81,28,138.3,55.2,27.4,43.0,1,0,0,11
130,105,33,247.6,129.4,49.7,60.1,1,0,0,9
90,66,22,73.7,32.0,17.7,20.4,0,1,0,6
110,85,31,174.5,82.4,37.4,48.5,0,1,0,10
136,108,31,306.8,134.2,75.8,76.8,0,0,1,10
90,71,24,79.1,29.4,15.3,29.0,0,0,1,9
96,74,24,107.2,50.2,22.8,30.0,0,1,0,8
63,48,17,34.3,14.2,6.9,10.7,0,1,0,7
115,91,31,202.6,93.7,41.7,59.0,0,0,1,11
104,77,33,158.2,75.0,36.0,36.3,0,0,1,10
138,110,39,355.4,153.8,76.0,86.1,0,0,1,11
124,102,35,230.1,87.5,45.3,80.0,0,0,1,12
98,78,27,115.7,49.3,24.6,40.0,1,0,0,13
94,77,27,117.9,55.3,24.0,34.0,0,0,1,8
88,75,26,97.4,45.2,19.3,31.0,0,0,1,9
52,40,14,18.4,7.4,4.0,6.0,0,1,0,6
106,85,22,147.8,47.4,32.2,59.0,0,0,1,13
47,34,13,12.5,4.6,2.8,4.4,0,1,0,6
90,67,21,89.4,46.7,30.6,23.8,0,1,0,7
134,100,38,303.8,123.2,77.6,83.0,0,0,1,10
130,102,35,289.2,129.7,54.1,90.0,0,0,1,12
92,71,22,83.0,43.0,16.4,26.0,0,0,1,12
87,67,20,65.9,25.8,14.0,22.0,0,1,0,7
75,55,18,47.6,21.5,10.9,14.0,0,1,0,6
72,55,22,46.7,19.0,10.5,17.0,0,1,0,10
107,82,26,121.5,53.6,24.5,39.5,0,1,0,9
86,68,0,85.6,41.3,17.2,23.0,0,1,0,8
108,83,29,148.0,52.7,33.6,49.0,0,0,1,12
100,76,24,115.3,54.6,27.0,29.0,0,0,1,9
118,97,24,182.2,78.0,36.4,58.0,0,0,1,16
121,95,33,211.2,86.6,43.9,71.4,1,0,0,9
52,43,16,19.8,7.4,5.1,9.0,0,1,0,5
88,68,28,96.4,37.2,21.7,32.0,1,0,0,9
89,64,24,82.8,39.8,18.0,23.4,0,0,1,7
91,69,30,115.9,33.7,25.0,43.0,0,0,1,13
116,92,35,233.0,130.0,44.1,61.1,1,0,0,9
116,89,30,177.3,76.6,41.8,51.0,0,1,0,11
88,61,23,75.8,32.4,18.2,22.0,0,1,0,9
56,42,17,21.3,7.8,5.9,6.0,0,1,0,4
83,63,25,77.6,13.6,18.0,25.0,0,0,1,12
134,104,38,264.0,104.7,61.9,85.5,1,0,0,13
143,104,36,320.0,141.6,70.5,89.0,0,0,1,12
69,52,18,41.4,15.5,8.7,15.3,1,0,0,10
144,115,43,434.6,190.3,112.8,107.3,0,0,1,12
100,74,27,90.0,34.3,21.1,31.0,1,0,0,9
136,109,37,334.4,141.5,72.8,96.0,0,0,1,11
125,101,37,231.3,104.0,48.1,70.7,0,0,1,10
122,98,32,222.4,93.0,45.6,68.2,0,0,1,10
100,76,22,98.8,43.6,18.0,26.5,0,1,0,7
126,100,35,222.1,93.4,53.6,65.8,1,0,0,10
124,97,29,200.6,93.1,43.9,56.0,0,0,1,11
125,99,31,205.0,92.0,38.9,68.0,0,0,1,9
114,91,33,211.9,88.0,43.9,57.0,1,0,0,14
110,87,28,149.0,69.4,34.8,45.3,1,0,0,9
85,65,22,66.7,34.6,9.0,20.0,0,1,0,7
83,64,22,74.7,35.0,15.1,21.8,0,1,0,7
129,98,32,250.2,107.1,66.9,63.3,0,0,1,9
119,88,27,192.8,100.1,34.3,51.5,1,0,0,10
97,73,25,85.2,32.6,19.3,30.2,0,1,0,8
116,93,30,181.3,74.2,39.3,58.0,0,0,1,8
43,30,11,8.2,3.0,1.8,2.5,0,1,0,3
85,65,22,63.4,27.0,9.6,18.0,0,1,0,8
77,61,21,66.3,27.3,14.9,20.0,1,0,0,7
92,73,25,95.7,41.2,20.9,28.2,1,0,0,8
99,75,30,119.4,52.3,27.0,35.6,1,0,0,11
113,86,26,156.8,69.9,37.7,42.6,0,0,1,9
120,96,34,211.2,91.5,48.7,62.7,1,0,0,10
92,72,21,93.2,44.5,19.8,22.0,0,1,0,7
101,76,27,137.1,72.2,31.3,32.2,1,0,0,9
84,64,26,82.7,32.9,21.2,23.8,1,0,0,10
104,82,31,145.4,58.2,36.7,47.0,1,0,0,12
131,91,34,257.9,117.4,63.3,68.3,1,0,0,11
77,60,18,49.4,24.5,8.8,13.5,0,1,0,5
116,94,33,185.4,64.3,39.7,63.0,0,0,1,11
92,70,23,88.0,38.0,20.5,26.0,1,0,0,8
105,78,24,132.8,62.3,29.4,35.6,0,1,0,9
112,90,28,180.0,94.4,36.4,43.6,0,0,1,7
112,88,28,194.2,88.6,40.9,53.0,0,0,1,14
77,56,18,45.6,20.5,8.4,13.1,0,1,0,5
72,53,17,37.9,14.5,10.3,11.0,0,1,0,6
114,90,29,190.0,80.1,44.7,56.9,0,0,1,10
119,93,29,221.4,80.4,48.3,62.0,1,0,0,12
126,97,29,212.4,101.3,35.7,67.3,0,0,1,12
85,65,24,75.1,28.4,21.3,21.0,0,0,1,9
123,100,33,265.4,120.0,60.3,71.0,1,0,0,10
74,54,19,43.5,19.4,9.2,13.0,0,1,0,6
115,88,37,205.0,101.5,44.9,49.7,0,0,1,10
77,51,20,63.5,27.4,13.6,18.4,0,0,1,8
130,99,35,245.4,105.6,51.6,74.0,1,0,0,11
144,115,46,453.9,176.7,79.7,133.0,0,0,1,16
68,51,19,42.6,16.2,6.8,14.0,0,0,1,9
111,91,32,211.5,78.5,45.6,58.6,0,0,1,13
116,85,31,174.6,72.3,49.8,47.8,1,0,0,10
112,88,31,128.1,67.2,35.3,49.0,1,0,0,8
76,57,18,46.1,20.1,7.8,15.5,0,1,0,7
53,39,12,18.4,6.9,5.0,4.9,0,1,0,6
84,62,20,56.1,22.5,12.3,18.5,0,1,0,8
105,83,29,169.0,70.5,32.7,57.5,0,0,1,8
91,71,27,94.9,37.3,18.7,33.6,0,0,1,13
54,41,15,23.6,11.8,6.2,6.1,0,1,0,4
99,74,25,94.3,41.5,18.2,30.0,0,1,0,8
142,100,30,263.3,136.7,56.3,56.0,1,0,0,10
109,78,27,156.7,84.5,36.3,31.2,0,0,1,7
139,107,35,272.2,109.3,56.3,93.0,1,0,0,10
112,84,30,175.1,88.0,39.3,46.3,0,0,1,8
121,98,28,195.1,83.8,41.2,63.0,0,0,1,10
87,64,16,66.5,29.7,12.7,21.0,0,1,0,9
70,47,16,34.0,14.5,9.3,9.9,0,1,0,7
95,71,25,97.3,43.1,22.1,28.4,0,1,0,9
64,48,14,26.6,11.7,5.1,8.2,0,1,0,6
74,58,23,50.0,22.2,11.4,15.0,1,0,0,9
115,90,27,174.3,90.0,32.4,45.0,0,1,0,10
115,90,25,156.0,65.5,37.6,47.0,0,1,0,9
104,81,28,115.5,40.0,29.0,35.8,0,1,0,11
121,97,33,202.1,87.0,41.8,60.0,1,0,0,19
112,82,33,186.0,70.1,47.4,60.0,0,0,1,13
65,48,15,30.5,14.4,12.9,8.6,0,1,0,6
75,56,16,40.5,16.5,9.6,13.0,0,1,0,8
138,111,41,363.3,155.7,87.9,103.0,1,0,0,19
91,70,28,114.5,39.3,26.5,35.0,1,0,0,10
118,93,30,230.2,122.6,47.8,50.3,1,0,0,9
115,80,31,186.5,72.1,48.9,60.0,0,0,1,17
93,71,18,86.5,40.1,14.8,25.5,0,1,0,9
136,106,41,299.2,116.5,67.4,93.0,0,0,1,14
109,82,28,125.0,44.6,32.0,47.0,0,0,1,13
125,84,33,211.9,71.6,33.0,89.0,1,0,0,21
74,56,21,44.8,16.3,11.5,15.0,0,0,1,8
47,35,16,12.9,4.3,3.5,4.3,0,1,0,5
73,54,17,39.2,16.5,7.5,12.0,0,1,0,7
135,104,35,298.8,147.3,61.1,74.0,1,0,0,9
71,53,18,33.6,10.0,8.2,12.6,0,0,1,8
116,89,25,141.9,60.6,28.1,47.0,0,1,0,9
109,87,30,137.1,58.1,29.0,45.0,1,0,0,10
99,75,23,115.1,62.0,22.9,27.9,0,1,0,8
64,47,13,27.7,11.6,4.5,10.0,0,1,0,5
147,120,44,511.0,226.7,88.0,120.0,1,0,0,11
121,98,33,214.2,96.4,38.7,70.4,0,1,0,10
102,91,27,137.1,57.5,30.8,40.7,0,1,0,9
98,80,23,113.8,51.2,26.5,29.0,1,0,0,9
126,96,30,254.2,132.1,48.5,62.0,0,0,1,11
48,35,11,14.1,5.0,2.8,4.2,0,1,0,5
105,80,28,146.5,66.8,31.5,34.0,0,0,1,11
115,90,33,193.1,99.6,38.0,46.0,0,0,1,8
115,92,38,198.8,78.4,48.5,68.0,1,0,0,13
89,70,28,118.1,40.5,31.6,38.0,0,0,1,14
126,95,31,200.1,90.4,50.4,53.0,1,0,0,10
96,74,25,94.8,35.8,20.7,35.0,0,1,0,9
104,79,25,116.3,51.3,25.3,34.0,0,0,1,10
116,98,26,226.7,117.2,51.3,47.4,0,0,1,9
96,71,23,94.5,41.3,22.4,26.4,0,1,0,8
95,77,22,114.7,62.2,20.5,27.2,0,1,0,7
113,87,37,196.3,65.8,27.2,78.0,0,0,1,13
96,76,27,105.6,40.0,27.9,32.0,0,0,1,14
113,92,30,175.3,69.1,38.5,55.0,1,0,0,10
129,100,40,285.7,127.8,61.0,72.0,1,0,0,11
123,99,40,260.8,115.9,62.3,74.2,0,0,1,14
111,84,28,173.6,66.0,48.6,42.0,1,0,0,13
137,110,40,354.5,162.6,77.4,98.0,0,0,1,11
109,82,25,130.8,58.9,26.3,41.0,1,0,0,10
142,111,39,389.7,189.1,75.3,99.0,0,0,1,12
67,51,16,33.6,15.8,7.1,10.0,0,1,0,5
91,68,27,92.4,33.5,31.6,24.0,0,0,1,9
114,89,30,197.5,100.8,41.4,49.8,0,0,1,8
121,96,35,233.7,96.3,46.1,71.2,1,0,0,9
131,101,39,288.1,137.6,76.1,72.6,1,0,0,11
92,70,21,74.1,31.5,15.4,22.8,0,1,0,9
140,120,46,400.6,162.1,80.9,115.1,0,0,1,10
115,84,27,171.4,92.2,29.4,42.5,1,0,0,10
126,106,36,255.9,123.6,51.2,63.0,0,0,1,9
116,86,34,296.0,130.7,64.8,83.1,1,0,0,10
135,111,40,287.7,109.0,53.3,93.0,0,0,1,21
88,66,22,74.1,30.9,16.8,24.0,0,1,0,7
125,98,38,340.3,149.3,82.1,77.1,1,0,0,11
90,76,33,163.3,50.0,38.3,53.0,1,0,0,23
101,78,37,122.5,53.4,28.4,34.4,0,1,0,7
112,84,36,332.9,155.1,70.0,90.5,1,0,0,9
83,63,21,66.0,28.1,14.1,19.0,0,1,0,6
129,98,43,281.2,85.3,45.7,102.0,1,0,0,25
111,84,22,186.2,88.9,34.2,45.0,1,0,0,8
95,71,24,96.0,46.8,20.3,27.0,0,0,1,8
125,99,37,276.7,142.1,60.1,69.0,0,0,1,11
134,108,39,243.4,106.4,54.7,66.3,0,0,1,11
89,69,26,81.5,27.3,12.9,36.0,0,1,0,11
128,117,39,329.4,144.5,66.2,94.2,0,0,1,12
95,75,26,103.5,41.5,23.3,34.0,0,0,1,10
95,71,27,95.5,42.9,18.0,28.7,0,1,0,8
140,110,35,288.1,131.3,59.7,75.0,0,0,1,12
124,98,38,243.6,109.1,59.3,71.0,0,0,1,13
63,47,14,29.8,11.6,6.5,9.4,0,1,0,7
124,97,31,205.9,85.0,46.3,67.0,0,0,1,12
90,69,23,99.2,38.1,23.4,28.0,1,0,0,12
144,115,34,386.7,182.6,77.8,102.0,1,0,0,13
88,69,24,73.0,33.1,16.6,22.0,0,1,0,7
73,55,17,44.6,19.6,7.5,15.0,0,1,0,7
65,48,17,34.6,15.9,7.6,10.0,0,0,1,7
123,96,38,272.0,106.1,47.5,94.0,0,0,1,18
118,89,26,226.5,76.5,46.8,64.0,1,0,0,13
95,72,25,98.1,41.0,26.1,25.0,0,1,0,8
87,65,20,68.4,26.7,16.7,21.0,0,1,0,6
76,60,20,57.2,26.1,11.2,18.0,0,1,0,7
79,61,21,56.8,22.7,11.9,18.9,0,1,0,8
96,67,25,104.8,49.2,21.9,29.0,0,1,0,7
130,104,39,256.2,119.7,49.2,76.5,1,0,0,10
101,80,26,152.8,60.7,37.8,43.5,0,0,1,11
71,54,15,35.5,15.8,6.3,10.8,0,1,0,6
124,98,34,242.1,103.7,51.1,67.0,0,0,1,13
94,71,20,95.1,33.5,16.1,37.0,1,0,0,10
119,94,33,203.1,98.2,38.1,57.8,1,0,0,9
92,73,25,93.4,37.9,18.9,31.6,0,0,1,10
80,58,20,53.5,24.1,12.1,15.3,0,1,0,5
131,92,32,298.8,137.9,66.2,36.5,1,0,0,9
44,33,11,10.9,4.3,2.4,4.0,0,1,0,5
54,39,14,21.2,9.3,3.6,7.2,0,0,1,7
83,63,23,77.9,40.3,13.0,20.6,0,0,1,9
129,106,39,278.0,129.3,58.9,74.7,0,0,1,10
104,75,27,107.5,44.2,23.4,34.0,1,0,0,8
73,54,17,39.4,16.3,6.5,13.0,0,1,0,6
68,53,16,40.3,18.0,9.5,11.0,0,1,0,5
51,36,11,16.6,6.2,4.3,4.0,0,1,0,4
135,105,32,256.7,114.4,55.1,70.9,0,0,1,13
92,69,24,98.7,48.7,23.5,26.4,0,0,1,8
128,102,33,297.2,151.9,66.4,64.2,1,0,0,8
106,81,26,147.6,56.9,34.0,38.6,0,0,1,9
126,98,36,226.0,91.6,55.3,63.0,0,0,1,12
57,43,15,21.2,8.3,4.6,7.0,0,0,1,5
106,84,26,131.6,59.2,24.9,39.6,0,1,0,8
126,103,33,270.4,97.6,69.8,90.0,0,0,1,20
84,64,20,68.0,34.9,10.0,18.9,0,1,0,8
88,73,25,103.2,43.1,22.8,31.0,0,0,1,10
122,97,30,248.1,120.5,58.3,61.7,1,0,0,12
152,121,43,434.6,160.2,98.3,129.2,0,0,1,13
106,84,37,150.4,59.8,31.2,41.0,0,1,0,20
116,92,28,185.3,82.7,36.9,54.0,0,1,0,10
109,92,32,179.5,68.2,33.1,69.0,0,0,1,10
125,97,40,276.0,116.9,60.4,80.2,1,0,0,9
49,38,12,17.2,8.4,2.8,5.0,0,1,0,4
117,86,32,191.0,72.5,35.2,54.0,0,0,1,11
113,91,30,191.9,91.3,47.9,46.0,0,0,1,9
129,102,39,245.2,117.7,44.3,74.9,0,0,1,10
132,105,32,255.4,99.5,63.8,78.8,1,0,0,13
133,103,38,327.7,166.2,71.5,74.2,0,0,1,11
121,94,36,223.1,95.8,51.3,64.2,0,0,1,10
98,76,24,105.8,43.3,27.8,31.0,0,1,0,11
139,106,42,302.0,132.8,81.9,77.0,0,0,1,10
124,96,32,222.5,112.7,48.9,56.2,1,0,0,8
63,50,18,40.6,12.3,7.4,15.9,0,0,1,11
130,104,38,268.9,103.8,61.2,89.3,0,0,1,16
100,79,28,124.3,58.5,24.1,39.0,0,1,0,9
106,88,27,156.7,62.6,34.3,43.7,1,0,0,9
42,30,11,9.3,3.4,2.4,3.0,0,1,0,5
86,68,21,88.1,47.7,14.9,21.5,0,1,0,6
118,95,29,194.9,93.5,41.4,51.8,0,1,0,10
98,74,21,105.3,49.8,20.1,29.6,1,0,0,7
116,92,36,229.0,96.0,55.4,65.0,0,0,1,11
131,105,36,280.4,124.8,58.7,73.0,0,0,1,13
117,90,30,187.6,93.4,40.6,45.0,1,0,0,7
87,71,25,81.5,30.7,14.8,33.0,0,1,0,9
113,89,29,185.1,86.9,42.4,49.5,0,0,1,9
124,95,35,203.3,87.1,42.8,65.0,1,0,0,10
76,56,19,57.7,33.0,8.7,13.4,0,1,0,7
94,75,23,85.3,33.7,15.1,30.0,0,0,1,8
144,115,36,334.1,146.4,72.1,100.2,1,0,0,12
136,112,39,355.5,172.2,64.4,83.0,1,0,0,11
124,101,37,305.5,138.0,73.6,70.0,0,0,1,13
81,62,18,62.4,27.6,12.0,17.4,0,1,0,8
107,81,29,136.9,54.5,34.2,41.0,1,0,0,10
103,83,27,142.5,57.0,30.4,49.0,0,1,0,10
100,80,33,165.0,50.8,41.0,57.0,0,0,1,13
74,56,20,50.4,21.3,11.9,14.8,0,0,1,8
135,103,29,253.0,120.5,59.8,65.0,0,0,1,10
83,66,20,78.1,38.5,15.1,20.5,0,1,0,7
124,105,31,217.0,90.8,39.3,70.0,0,0,1,10
111,85,29,158.1,69.7,35.3,45.0,0,1,0,9
55,41,14,18.8,6.7,4.0,6.5,0,0,1,5
106,82,30,122.4,48.7,30.5,37.9,0,1,0,11
80,67,23,86.7,42.1,24.1,24.0,1,0,0,10
139,112,37,348.0,177.0,74.3,87.5,0,0,1,10
133,103,40,253.9,102.3,53.5,87.2,0,0,1,12
112,86,26,145.6,67.1,28.7,43.5,0,1,0,8
117,95,33,210.6,91.6,43.4,60.0,1,0,0,11
125,99,32,222.3,89.9,56.5,69.0,1,0,0,11
124,98,32,213.2,89.2,49.2,61.0,0,1,0,11
130,103,35,296.1,105.9,54.4,105.0,0,0,1,20
75,56,20,51.3,23.3,11.7,14.5,0,1,0,12
121,97,33,214.7,87.4,41.0,66.0,1,0,0,14
120,95,34,226.3,101.6,54.4,61.8,0,0,1,10
122,96,33,248.8,126.9,51.4,61.0,0,0,1,12
55,40,11,18.5,7.6,4.2,5.2,0,1,0,4
87,67,19,59.6,21.8,11.6,23.0,0,1,0,7
113,90,31,211.9,94.7,48.0,53.0,0,0,1,10
116,87,28,190.6,95.0,43.3,41.9,1,0,0,9
91,70,27,107.3,57.1,17.1,26.5,0,1,0,7
66,49,13,28.9,11.6,6.4,10.1,0,1,0,6
107,87,31,178.3,68.3,35.4,50.0,0,0,1,13
120,94,30,185.6,84.5,36.6,55.0,0,0,1,8
91,67,27,100.2,54.8,19.9,21.3,0,1,0,7
70,55,22,58.5,24.5,12.7,18.1,0,0,1,8
38,29,8,7.6,3.3,1.3,3.0,0,1,0,4
106,83,30,155.5,47.4,28.3,66.0,1,0,0,20
97,74,31,193.6,83.8,49.1,47.3,0,0,1,9
136,107,37,321.4,144.9,64.3,99.6,0,0,1,12
153,117,36,479.6,225.6,102.4,106.7,0,0,1,12
50,38,13,16.7,7.8,3.0,5.0,0,1,0,5
125,98,33,241.0,103.5,62.1,69.3,0,0,1,10
111,90,35,174.8,65.5,40.4,61.0,0,0,1,10
119,94,31,235.5,108.4,53.8,62.0,1,0,0,9
36,25,10,4.6,1.7,1.1,2.0,0,0,1,3
134,106,41,280.3,128.6,49.3,83.2,1,0,0,12
110,87,28,159.9,59.0,38.1,47.6,0,1,0,10
124,99,39,302.9,115.8,69.2,103.9,0,0,1,15
84,69,21,86.0,35.0,19.2,26.0,0,0,1,7
110,87,22,161.2,68.3,40.6,43.0,0,0,1,9
99,75,23,124.9,56.4,28.6,31.0,0,0,1,6
92,75,24,92.1,35.5,22.0,30.0,1,0,0,7
121,91,32,220.7,84.2,60.3,65.0,0,0,1,9
110,85,27,131.2,51.4,34.0,40.6,0,1,0,10
134,107,38,333.8,149.3,58.7,101.6,0,0,1,11
122,96,37,261.3,137.9,58.3,58.0,0,0,1,10
125,86,35,282.2,114.4,59.4,79.0,0,1,0,12
126,100,35,252.9,112.7,61.3,68.5,0,0,1,10
104,80,29,132.0,53.4,21.1,44.0,0,1,0,13
126,97,32,248.6,124.6,55.0,60.0,0,0,1,10
109,89,35,170.5,69.3,37.8,59.0,1,0,0,13
126,93,30,206.3,85.3,48.0,65.0,0,1,0,11
96,77,27,107.2,37.9,28.4,34.6,1,0,0,14
94,70,27,113.4,46.3,29.3,30.5,0,1,0,11
80,63,20,64.5,28.6,14.7,18.2,0,1,0,6
93,71,21,95.9,45.4,24.8,25.0,0,0,1,8
127,95,30,236.9,106.6,61.4,58.2,1,0,0,10
105,85,32,167.1,70.9,42.7,49.0,1,0,0,9
95,74,25,101.9,43.3,22.5,33.0,0,0,1,9
123,94,29,205.7,88.7,56.5,57.0,0,0,1,11
121,89,28,196.4,85.9,41.7,59.0,0,0,1,12
114,87,26,150.7,69.8,35.1,38.8,0,0,1,10
131,100,41,305.6,124.3,74.5,90.7,1,0,0,11
95,70,20,90.9,43.3,22.2,23.0,0,1,0,7
123,92,38,213.2,86.7,45.2,66.0,0,1,0,13
152,115,38,365.8,140.7,77.2,112.0,0,0,1,14
94,74,24,94.1,36.9,21.1,31.0,0,1,0,12
123,99,40,243.8,112.8,45.4,77.7,0,0,1,10
106,83,26,168.5,55.0,38.9,53.0,0,0,1,20
121,97,32,244.4,106.0,51.5,56.0,1,0,0,13
112,88,28,185.7,76.5,37.6,60.0,1,0,0,11
81,63,21,69.4,32.1,15.7,20.0,0,1,0,9
95,79,27,118.4,49.3,32.9,40.0,0,0,1,13
127,102,34,271.1,123.8,61.0,78.0,0,0,1,9
78,58,20,56.9,25.1,12.7,16.2,0,1,0,7
86,68,24,78.2,31.1,19.0,28.1,1,0,0,7
88,65,16,82.6,28.8,20.3,26.0,0,0,1,8
108,78,25,125.1,50.5,31.6,38.0,0,1,0,8
121,98,33,224.9,98.4,44.4,71.1,0,0,1,11
93,71,24,106.3,54.5,19.4,27.9,0,0,1,8
142,114,39,269.6,179.7,88.7,90.7,0,0,1,11
95,75,28,100.2,38.4,23.5,35.0,1,0,0,13
126,98,33,240.1,115.0,54.6,58.8,0,0,1,10
139,110,32,327.3,138.8,60.1,88.0,1,0,0,13
112,87,37,221.2,84.4,48.7,66.0,1,0,0,15
107,78,25,119.8,51.9,29.8,33.8,0,1,0,9
107,84,29,185.2,79.6,39.3,50.0,0,1,0,17
101,85,28,170.0,55.0,32.5,57.0,1,0,0,19
142,113,40,320.2,141.2,64.2,90.0,0,0,1,11
122,97,33,218.3,78.7,48.7,66.0,1,0,0,18
91,71,226,118.8,66.4,23.2,26.7,1,0,0,8
86,68,22,72.9,31.8,17.1,21.0,0,1,0,7
136,100,37,348.2,153.3,65.1,93.7,1,0,0,12
115,95,29,171.4,73.3,34.6,53.8,0,0,1,9
124,93,28,232.1,120.1,43.9,61.4,1,0,0,9
115,90,26,157.0,63.6,38.6,45.3,0,0,1,9
75,55,17,44.0,21.8,10.0,12.1,0,1,0,7
126,100,36,239.3,102.8,46.5,79.9,1,0,0,8
71,54,21,54.2,28.5,10.5,14.7,0,1,0,9
109,83,32,154.3,54.4,29.1,55.3,1,0,0,10
54,39,14,20.4,9.0,2.7,6.8,0,1,0,8
74,53,15,42.8,18.0,10.2,14.0,0,0,1,6
96,74,20,102.7,48.6,20.3,27.0,0,0,1,8
80,63,18,64.9,30.2,14.6,17.6,0,1,0,8
116,90,28,192.3,97.2,36.3,50.6,0,0,1,9
117,102,32,243.6,127.8,48.2,60.0,0,0,1,11
